country,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Afghanistan,AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044936626,0.043347472,0.039712736,0.046827824999999997,0.050605798,0.059490268,0.08531979,0.118630883,0.150205172,0.196181559,0.169302152,0.166638006,0.154883189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,0.408964735,0.386849245,0.400111645,0.387517446,0.424743656,0.346107692,0.480669151,0.663616999,0.679311115,0.765433291,0.849344942,0.853916975,0.937932826,0.980166745,1.0311958,1.145754101,1.122993021,1.169450903,1.078365783,1.155059974,0.96869194,0.962628121,0.897236602,1.054122943,0.866013724,0.878688887,0.927811382,0.981435414,0.920676105,0.926970286,0.933292246,0.931036046,0.884435212,0.783023161,0.569780362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,DZA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46621158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,0.142934042,0.142964815,0.136887858,0.12633585,0.12605129,0.122239216,0.108430215,0.114129342,0.109801921,0.112884051,0.116482121,0.133781748,0.134502853,0.115132776,0.136083625,0.146787301,0.334194006,0.521414939,0.279707665,0.311131824,0.421207487,0.656811424,0.774420571,NA,NA,NA,NA,NA,0.09796781,0.102379936,0.106973701,0.121838355,0.127972066,0.145309565,0.150798226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,0.987957262,1.007889369,1.086837151,1.026132064,1.092581154,1.146185525,1.124226123,1.059851522,1.067150019,0.915511793,0.758735701,0.842598356,1.029511828,1.007305958,1.111828109,1.184570819,1.290293303,1.176644209,1.25481186,1.319903283,1.312462657,1.313781535,1.281048741,1.214257637,1.089219431,0.998974236,0.973928561,0.982059393,0.84174493,0.955410674,1.03031363,1.010709792,0.934881389,0.786612833,0.885035977,0.821848257,0.854288262,0.724590089,0.856267028,0.940642244,0.94453445,0.958267619,1.012270217,1.142922513,1.214448414,1.296412924,1.312073327,1.337567695,1.315363959,1.272840117,1.239477097,1.246892113,1.157598277,1.279834566
Armenia,ARM,1.1122251,0.535276774,0.317669342,0.416180121,0.334685694,0.409646065,0.432528699,0.520854495,0.482025,0.501806613,0.475678541,0.535628171,0.57744377,0.683763506,0.743040136,0.865227578,0.997572376,0.786918537,0.783614389,0.830742567,0.873454158,0.863901974,0.851708106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,AUS,4.100532541,4.14678186,4.22499788,4.30903618,4.453041516,4.524162445,4.684176461,4.674511538,4.77491697,4.839823251,4.777002043,5.128905615,5.404927214,5.50926652,5.664540684,5.827857969,5.867380914,5.462084086,5.548603981,5.44318357,5.233271325,5.01687544,4.700066732,4.486413873,4.334508228,4.316343216,3.966171178,3.926518647,3.995823258,3.928285682,4.020669682,4.194435785,4.512647782,4.323681772,4.100662322,3.026249265,3.098035023,3.256479254,3.426953424,3.60551588,3.824035318,3.893451468,3.976064198,3.982115713,4.014376304,3.863078788,3.841649966,4.129918873,4.45232077,4.247904873,4.229548167,4.56364972,4.32006734,4.434458753
Austria,AUT,3.319643589,3.221963651,3.315120198,3.59332948,4.178255077,3.775725181,3.761866383,3.676213807,3.770382869,3.975874687,4.028069467,4.247942158,4.287933489,4.429462263,4.436821776,4.387723363,4.365199128,3.93866975,4.301088739,4.374184688,4.085726766,4.091085972,3.885462847,3.253521964,2.880122788,2.828765607,2.701699263,2.812136955,2.961951311,2.96446779,2.949275023,2.983819272,2.973023358,3.236562321,3.492589497,1.657642851,1.806234133,1.953292761,2.030306986,2.018593964,2.0469361,2.05402641,2.233301031,2.376842095,2.702512111,2.836135014,3.011072021,3.30467717,3.004360811,2.776169508,3.088447814,3.061119069,3.114582435,3.280514956
Azerbaijan,AZE,NA,NA,NA,NA,1.273794086,1.228026867,1.176865078,1.077693261,1.145926555,1.112579894,1.146064434,1.287641715,1.319666334,1.419900231,1.419475226,1.319163133,0.866384399,1.059484205,0.995661678,1.165941373,1.249162943,1.261879361,1.259900838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
