"country","UN_region","UN_subregion","year","record","crop_land","grazing_land","forest_land","fishing_ground","built_up_land","carbon","total","GDP","population","country.code"
"Albania","Europe","Southern Europe",2010,"EFConsTotGHA",1945015.983,760428.432,318935.5906,75276.71675,107705.3049,3129287.972,6336649.999,4094.36,2902000,8
"Albania","Europe","Southern Europe",2011,"BiocapPerCap",0.366029476,0.226068223,0.320575292,0.081525156,0.036751144,0,1.030949292,4210.08,2886000,8
"Albania","Europe","Southern Europe",2011,"BiocapTotGHA",1056364.732,652435.1548,925183.5003,235282.4171,106064.1708,0,2975329.975,4210.08,2886000,8
"Albania","Europe","Southern Europe",2011,"EFConsPerCap",0.641162355,0.243324947,0.297382867,0.028359722,0.036751144,1.155059974,2.402041009,4210.08,2886000,8
"Albania","Europe","Southern Europe",2011,"EFConsTotGHA",1850400.974,702238.2328,858249.9316,81846.44043,106064.1708,3333514.647,6932314.397,4210.08,2886000,8
"Albania","Europe","Southern Europe",2012,"BiocapPerCap",0.400964863,0.228011332,0.319688739,0.081627208,0.04058853,0,1.070880671,4276.92,2881000,8
"Albania","Europe","Southern Europe",2012,"BiocapTotGHA",1155047.42,656825.386,920917.7339,235141.042,116922.1569,0,3084853.738,4276.92,2881000,8
"Albania","Europe","Southern Europe",2012,"EFConsPerCap",0.674700429,0.246608759,0.276225738,0.024171905,0.04058853,0.96869194,2.230987301,4276.92,2881000,8
"Albania","Europe","Southern Europe",2012,"EFConsTotGHA",1943589.233,710398.4343,795715.1752,69631.2783,116922.1569,2790481.735,6426738.013,4276.92,2881000,8
"Albania","Europe","Southern Europe",2013,"BiocapPerCap",0.378696626,0.226104126,0.318096923,0.081849802,0.03885576,0,1.043603237,4327.64,2883000,8
"Albania","Europe","Southern Europe",2013,"BiocapTotGHA",1091888.418,651921.5109,917162.5044,235995.9009,112032.0367,0,3009000.371,4327.64,2883000,8
"Albania","Europe","Southern Europe",2013,"EFConsPerCap",0.634368229,0.240757545,0.288455986,0.02411538,0.03885576,0.962628121,2.189181021,4327.64,2883000,8
"Albania","Europe","Southern Europe",2013,"EFConsTotGHA",1829061.247,694171.4218,831699.3845,69531.39418,112032.0367,2775526.436,6312021.919,4327.64,2883000,8
"Albania","Europe","Southern Europe",2014,"BiocapPerCap",0.395455656,0.21857232,0.315863091,0.081883656,0.039772281,0,1.051547003,4413.56,2890000,8
"Albania","Europe","Southern Europe",2014,"BiocapTotGHA",1142740.274,631604.0454,912743.234,236617.5565,114929.1623,0,3038634.272,4413.56,2890000,8
"Albania","Europe","Southern Europe",2014,"EFConsPerCap",0.650139557,0.238943601,0.29027192,0.025270675,0.039772281,0.897236602,2.141634637,4413.56,2890000,8
